Dist Code,Year,State Code,State Name,Dist Name,Total Rainfall
95,1997,7,Maharashtra,Bombay,-4
95,1998,7,Maharashtra,Bombay,-4
95,1999,7,Maharashtra,Bombay,-4
95,2000,7,Maharashtra,Bombay,2557.8
95,2001,7,Maharashtra,Bombay,-3
95,2002,7,Maharashtra,Bombay,-3
95,2003,7,Maharashtra,Bombay,-3
95,2004,7,Maharashtra,Bombay,1893.2
95,2005,7,Maharashtra,Bombay,2207
95,2006,7,Maharashtra,Bombay,2247.1
95,2007,7,Maharashtra,Bombay,1725.8
95,2008,7,Maharashtra,Bombay,1762.4
95,2009,7,Maharashtra,Bombay,1815.8
95,2012,7,Maharashtra,Bombay,1575
95,2013,7,Maharashtra,Bombay,1575.5
95,2014,7,Maharashtra,Bombay,2180.9
95,2015,7,Maharashtra,Bombay,779.9
96,1997,7,Maharashtra,Thane,2635.6
96,1998,7,Maharashtra,Thane,2344.1
96,1999,7,Maharashtra,Thane,1444.9
96,2000,7,Maharashtra,Thane,2019.5
96,2001,7,Maharashtra,Thane,1687.6
96,2002,7,Maharashtra,Thane,1279.5
96,2003,7,Maharashtra,Thane,1865.3
96,2004,7,Maharashtra,Thane,2496.1
96,2005,7,Maharashtra,Thane,2856.6
96,2006,7,Maharashtra,Thane,2616.5
96,2007,7,Maharashtra,Thane,2082.1
96,2008,7,Maharashtra,Thane,2253.2
96,2009,7,Maharashtra,Thane,1859.1
96,2012,7,Maharashtra,Thane,1951.9
96,2013,7,Maharashtra,Thane,2102.7
96,2014,7,Maharashtra,Thane,2353.2
96,2015,7,Maharashtra,Thane,1212.9
97,1997,7,Maharashtra,Raigad,2456
97,1998,7,Maharashtra,Raigad,2744.7
97,1999,7,Maharashtra,Raigad,2277.1
97,2000,7,Maharashtra,Raigad,2579.4
97,2001,7,Maharashtra,Raigad,1837.5
97,2002,7,Maharashtra,Raigad,1546.2
97,2003,7,Maharashtra,Raigad,1963.8
97,2004,7,Maharashtra,Raigad,2701.4
97,2005,7,Maharashtra,Raigad,3313.2
97,2006,7,Maharashtra,Raigad,3186.9
97,2007,7,Maharashtra,Raigad,2654.3
97,2008,7,Maharashtra,Raigad,2506.8
97,2009,7,Maharashtra,Raigad,2051
97,2012,7,Maharashtra,Raigad,2629.5
97,2013,7,Maharashtra,Raigad,2615.2
97,2014,7,Maharashtra,Raigad,2762.2
97,2015,7,Maharashtra,Raigad,1262.8
98,1997,7,Maharashtra,Ratnagiri,2069.1
98,1998,7,Maharashtra,Ratnagiri,2848.1
98,1999,7,Maharashtra,Ratnagiri,2039.4
98,2000,7,Maharashtra,Ratnagiri,2639.3
98,2001,7,Maharashtra,Ratnagiri,2076.3
98,2002,7,Maharashtra,Ratnagiri,1810.8
98,2003,7,Maharashtra,Ratnagiri,2190.2
98,2004,7,Maharashtra,Ratnagiri,2224.7
98,2005,7,Maharashtra,Ratnagiri,2917.9
98,2006,7,Maharashtra,Ratnagiri,2592.6
98,2007,7,Maharashtra,Ratnagiri,2801.7
98,2008,7,Maharashtra,Ratnagiri,2062.8
98,2009,7,Maharashtra,Ratnagiri,2557
98,2012,7,Maharashtra,Ratnagiri,2937
98,2013,7,Maharashtra,Ratnagiri,2992.8
98,2014,7,Maharashtra,Ratnagiri,2687.7
98,2015,7,Maharashtra,Ratnagiri,1265.9
99,1997,7,Maharashtra,Nasik,669
99,1998,7,Maharashtra,Nasik,972.8
99,1999,7,Maharashtra,Nasik,814.6
99,2000,7,Maharashtra,Nasik,583.1
99,2001,7,Maharashtra,Nasik,639.2
99,2002,7,Maharashtra,Nasik,499.4
99,2003,7,Maharashtra,Nasik,773.7
99,2004,7,Maharashtra,Nasik,1121.2
99,2005,7,Maharashtra,Nasik,1096.4
99,2006,7,Maharashtra,Nasik,1404.8
99,2007,7,Maharashtra,Nasik,917.5
99,2008,7,Maharashtra,Nasik,1129.2
99,2009,7,Maharashtra,Nasik,681.3
99,2012,7,Maharashtra,Nasik,851.3
99,2013,7,Maharashtra,Nasik,946.8
99,2014,7,Maharashtra,Nasik,883.5
99,2015,7,Maharashtra,Nasik,588.1
100,1997,7,Maharashtra,Dhule,359
100,1998,7,Maharashtra,Dhule,884.5
100,1999,7,Maharashtra,Dhule,368.4
100,2000,7,Maharashtra,Dhule,208.7
100,2001,7,Maharashtra,Dhule,348.6
100,2002,7,Maharashtra,Dhule,323.6
100,2003,7,Maharashtra,Dhule,617
100,2004,7,Maharashtra,Dhule,628.9
100,2005,7,Maharashtra,Dhule,405.8
100,2006,7,Maharashtra,Dhule,814.1
100,2007,7,Maharashtra,Dhule,481.1
100,2008,7,Maharashtra,Dhule,452.6
100,2009,7,Maharashtra,Dhule,504.9
100,2012,7,Maharashtra,Dhule,364.6
100,2013,7,Maharashtra,Dhule,678.6
100,2014,7,Maharashtra,Dhule,506
100,2015,7,Maharashtra,Dhule,388.6
101,1997,7,Maharashtra,Jalgaon,628.2
101,1998,7,Maharashtra,Jalgaon,889.2
101,1999,7,Maharashtra,Jalgaon,415.1
101,2000,7,Maharashtra,Jalgaon,261.7
101,2001,7,Maharashtra,Jalgaon,465.7
101,2002,7,Maharashtra,Jalgaon,501.3
101,2003,7,Maharashtra,Jalgaon,674.5
101,2004,7,Maharashtra,Jalgaon,522.8
101,2005,7,Maharashtra,Jalgaon,469.9
101,2006,7,Maharashtra,Jalgaon,1110.6
101,2007,7,Maharashtra,Jalgaon,547.4
101,2008,7,Maharashtra,Jalgaon,487.6
101,2009,7,Maharashtra,Jalgaon,529.3
101,2012,7,Maharashtra,Jalgaon,374.9
101,2013,7,Maharashtra,Jalgaon,697.1
101,2014,7,Maharashtra,Jalgaon,588
101,2015,7,Maharashtra,Jalgaon,319.5
102,1997,7,Maharashtra,Ahmednagar,261
102,1998,7,Maharashtra,Ahmednagar,649.8
102,1999,7,Maharashtra,Ahmednagar,409.8
102,2000,7,Maharashtra,Ahmednagar,363
