Year,Dist Name,JULY MINIMUM (Centigrate),AUGUST MINIMUM (Centigrate),SEPTEMBER MINIMUM (Centigrate),OCTOBER MINIMUM (Centigrate),MIN TEMP,MAX TEMP,Avg Temp
1997,Thane,25.01,23.85,23.11,21.79,23.44,23.05,23.24
1998,Thane,25.18,24.4,23.54,23.27,24.0975,23.826875,23.9621875
1999,Thane,24.57,23.8,22.95,21.86,23.295,22.97625,23.135625
2000,Thane,24.32,23.97,23.23,23.45,23.74,23.60,23.67
2001,Thane,23.91,23.72,23.69,22.13,23.36,23.23,23.29
2002,Thane,24.98,23.5,23.13,22.86,23.6175,23.276875,23.4471875
2003,Thane,25.16,24.09,22.95,22.62,23.71,23.34,23.52
2004,Thane,24.87,23.15,23.42,21.64,23.27,22.87,23.07
2005,Thane,24.72,23.5,22.84,21.97,23.2575,22.891875,23.0746875
2006,Thane,24.16,22.96,23.38,22.4,23.225,22.99125,23.108125
2007,Thane,24.84,23.94,23.67,22.57,23.76,23.48,23.62
2008,Thane,24.3,23.6,23.03,22.36,23.3225,23.078125,23.2003125
2009,Thane,24.44,24.42,23.99,22.03,23.72,23.54,23.63
2010,Thane,24.68,24.18,23.68,22.88,23.86,23.65,23.75
2011,Thane,24.45,23.94,23.0,22.34,23.4325,23.178125,23.3053125
2012,Thane,25.35,24.39,23.26,22.43,23.86,23.48,23.67
2013,Thane,23.57,23.4,23.25,22.55,23.1925,23.098125,23.1453125
2014,Thane,24.81,24.12,23.47,22.47,23.72,23.44,23.58
2015,Thane,24.81,24.12,23.47,22.47,23.72,23.44,23.58
1997,Ratnagiri,24.1,23.26,23.07,22.54,23.2425,23.028125,23.1353125
1998,Ratnagiri,24.25,23.86,23.22,23.14,23.62,23.46,23.54
1999,Ratnagiri,23.43,23.29,22.7,22.34,22.94,22.8175,22.87875
2000,Ratnagiri,23.39,23.21,22.95,23.45,23.25,23.22,23.23
2001,Ratnagiri,23.22,23.07,23.27,22.22,22.95,22.88,22.91
2002,Ratnagiri,23.93,23.13,22.99,23.09,23.29,23.12,23.20
2003,Ratnagiri,24.31,23.39,22.47,22.61,23.20,22.92,23.06
2004,Ratnagiri,23.45,22.87,22.81,22.25,22.85,22.69,22.77
2005,Ratnagiri,24.04,23.24,22.83,22.51,23.16,22.93,23.04
2006,Ratnagiri,23.52,22.9,23.07,22.75,23.06,22.945,23.0025
2007,Ratnagiri,24.1,23.46,23.02,22.87,23.3625,23.178125,23.2703125
2008,Ratnagiri,23.62,23.2,22.8,22.79,23.1025,22.973125,23.0378125
2009,Ratnagiri,23.61,23.84,23.51,22.52,23.37,23.31,23.34
2010,Ratnagiri,23.74,23.72,23.15,22.84,23.36,23.27,23.32
2011,Ratnagiri,23.37,23.26,22.58,22.75,22.99,22.90,22.94
2012,Ratnagiri,23.97,23.51,22.86,22.82,23.29,23.12,23.21
2013,Ratnagiri,22.79,22.92,23.03,22.61,22.84,22.85,22.84
2014,Ratnagiri,23.77,23.59,23.01,22.48,23.21,23.07,23.14
2015,Ratnagiri,23.77,23.59,23.01,22.48,23.21,23.07,23.14
1997,Nasik,22.7,21.54,20.64,18.57,20.8625,20.403125,20.6328125
1998,Nasik,22.94,22.16,21.17,20.4,21.6675,21.349375,21.5084375
1999,Nasik,22.38,21.46,20.55,18.8,20.7975,20.401875,20.5996875
2000,Nasik,22.09,21.84,20.79,20.47,21.30,21.10,21.20
2001,Nasik,21.89,21.5,21.31,18.89,20.8975,20.649375,20.7734375
2002,Nasik,22.89,20.98,20.63,20.08,21.15,20.71,20.93
2003,Nasik,22.88,21.93,20.55,19.4,21.19,20.7675,20.97875
2004,Nasik,23.05,20.7,21.1,18.33,20.795,20.23125,20.513125
2005,Nasik,22.47,21.1,20.24,18.49,20.575,20.10125,20.338125
2006,Nasik,21.8,20.57,20.79,19.32,20.62,20.325,20.4725
2007,Nasik,22.61,21.44,21.17,19.16,21.10,20.72,20.91
2008,Nasik,22.48,21.4,20.3,19.27,20.8625,20.458125,20.6603125
2009,Nasik,22.3,22.27,21.99,18.91,21.3675,21.134375,21.2509375
2010,Nasik,22.64,21.93,21.44,19.98,21.50,21.21,21.35
2011,Nasik,22.34,21.7,20.68,19.67,21.0975,20.786875,20.9421875
2012,Nasik,23.25,22.26,21.03,19.45,21.50,21.06,21.28
2013,Nasik,21.59,21.17,20.9,19.63,20.8225,20.630625,20.7265625
2014,Nasik,22.92,22.09,21.13,19.82,21.49,21.13,21.31
2015,Nasik,22.92,22.09,21.13,19.82,21.49,21.13,21.31
1997,Dhule,24.04,23.3,22.5,19.38,22.305,21.87125,22.088125
1998,Dhule,24.41,23.98,23.12,21.59,23.28,22.99,23.13
1999,Dhule,23.84,23.16,22.43,19.79,22.31,21.92,22.11
2000,Dhule,23.45,23.79,22.63,21.53,22.85,22.70,22.78
2001,Dhule,23.34,23.28,22.93,19.65,22.30,22.04,22.17
2002,Dhule,24.6,22.55,22.38,21.45,22.745,22.28125,22.513125
2003,Dhule,23.87,23.54,21.96,20.02,22.35,21.97,22.16
2004,Dhule,24.58,22.46,23.11,19.33,22.37,21.82,22.09
2005,Dhule,24.04,22.85,21.94,19.21,22.01,21.50,21.76
2006,Dhule,23.17,22.13,22.37,20.25,21.98,21.68,21.83
2007,Dhule,23.95,23.02,22.7,19.56,22.3075,21.896875,22.1021875
2008,Dhule,24.1,23.43,21.93,20.38,22.46,22.05,22.255
2009,Dhule,23.79,24.29,24.19,19.75,23.01,22.81,22.91
2010,Dhule,24.12,23.68,23.47,21.25,23.13,22.88,23.01
2011,Dhule,23.63,23.44,22.59,21.35,22.75,22.53,22.64
2012,Dhule,24.54,23.94,22.84,20.57,22.97,22.58,22.78
2013,Dhule,23.2,23.12,22.84,20.36,22.38,22.175,22.2775
2014,Dhule,24.74,24.33,22.82,21.58,23.37,23.02,23.20
2015,Dhule,24.74,24.33,22.82,21.58,23.37,23.02,23.20
1997,Jalgaon,23.89,23.24,22.44,19.1,22.1675,21.736875,21.9521875
1998,Jalgaon,24.45,23.9,23.16,21.32,23.2075,22.896875,23.0521875
1999,Jalgaon,23.79,23.01,22.28,19.56,22.16,21.75,21.96
2000,Jalgaon,23.36,23.76,22.71,21.34,22.79,22.65,22.72
2001,Jalgaon,23.53,23.16,23.08,19.26,22.26,21.94,22.10
2002,Jalgaon,24.72,22.37,22.2,21.25,22.635,22.11375,22.374375
2003,Jalgaon,23.78,23.52,22.05,19.63,22.25,21.86,22.05
2004,Jalgaon,24.66,22.59,23.02,19.1,22.3425,21.763125,22.0528125
2005,Jalgaon,24.15,23.14,22.23,19.31,22.21,21.72,21.96
2006,Jalgaon,23.22,22.37,22.4,20.05,22.01,21.7075,21.85875
2007,Jalgaon,24.05,23.14,22.78,19.39,22.34,21.91,22.13
2008,Jalgaon,24.32,23.48,21.97,20.19,22.49,22.03,22.26
2009,Jalgaon,23.81,24.33,24.24,19.63,23.00,22.80,22.90
2010,Jalgaon,24.07,23.63,23.38,20.82,22.98,22.70,22.84
2011,Jalgaon,23.67,23.41,22.65,21.44,22.79,22.57,22.68
2012,Jalgaon,24.25,23.94,22.89,20.44,22.88,22.54,22.71
2013,Jalgaon,23.34,23.12,23.07,20.17,22.43,22.20,22.31
2014,Jalgaon,25.04,24.71,22.96,21.59,23.58,23.21,23.39
2015,Jalgaon,25.04,24.71,22.96,21.59,23.58,23.21,23.39
1997,Ahmednagar,22.28,21.3,20.57,18.95,20.775,20.39875,20.586875
1998,Ahmednagar,22.62,21.92,21.08,20.33,21.49,21.20,21.35
1999,Ahmednagar,21.91,21.23,20.34,18.98,20.62,20.29,20.45
2000,Ahmednagar,21.65,21.57,20.73,20.6,21.1375,21.009375,21.0734375
2001,Ahmednagar,22.11,21.36,21.33,18.99,20.95,20.66,20.80
2002,Ahmednagar,22.64,20.95,20.92,20.34,21.21,20.86,21.03
2003,Ahmednagar,22.63,21.77,21.05,20.15,21.40,21.09,21.25
2004,Ahmednagar,22.69,20.83,20.67,18.63,20.71,20.21,20.46
2005,Ahmednagar,22.01,21.1,20.39,18.83,20.5825,20.225625,20.4040625
2006,Ahmednagar,21.4,20.74,20.58,19.32,20.51,20.2875,20.39875
2007,Ahmednagar,22.29,21.4,21.08,19.98,21.1875,20.911875,21.0496875
2008,Ahmednagar,22.64,21.27,20.11,19.3,20.83,20.3775,20.60375
2009,Ahmednagar,21.77,21.99,21.74,19.5,21.25,21.12,21.185
2010,Ahmednagar,21.94,21.57,21.03,20.02,21.14,20.94,21.04
2011,Ahmednagar,21.94,21.35,20.74,20.01,21.01,20.78,20.89
2012,Ahmednagar,22.76,22.24,21.07,19.71,21.45,21.12,21.28
2013,Ahmednagar,21.37,21.18,20.85,19.96,20.84,20.71,20.77
2014,Ahmednagar,22.41,21.75,21.32,20.12,21.40,21.15,21.27
2015,Ahmednagar,22.41,21.75,21.32,20.12,21.40,21.15,21.27
1997,Pune,22.14,21.0,20.29,18.82,20.5625,20.168125,20.3653125
