Year,Dist Name,Crop,Area(1000 ha),Production(1000 tons),Yield(Kg per ha)
1966,Bombay,RICE,2.0,3.0,1500.0
1966,Bombay,WHEAT,0.0,0.0,0.0
1966,Bombay,KHARIF SORGHUM,0.0,0.0,0.0
1966,Bombay,RABI SORGHUM,0.0,0.0,0.0
1966,Bombay,SORGHUM,0.0,0.0,0.0
1966,Bombay,PEARL MILLET,0.0,0.0,0.0
1966,Bombay,MAIZE,0.0,0.0,0.0
1966,Bombay,FINGER MILLET,0.0,0.0,0.0
1966,Bombay,BARLEY,0.0,0.0,0.0
1966,Bombay,CHICKPEA,0.0,0.0,0.0
1966,Bombay,PIGEONPEA,0.0,0.0,0.0
1966,Bombay,MINOR PULSES,0.0,0.0,0.0
1966,Bombay,GROUNDNUT,0.0,0.0,0.0
1966,Bombay,SESAMUM,0.0,0.0,0.0
1966,Bombay,RAPESEED AND MUSTARD,0.0,0.0,0.0
1966,Bombay,SAFFLOWER,0.0,0.0,0.0
1966,Bombay,CASTOR,0.0,0.0,0.0
1966,Bombay,LINSEED,0.0,0.0,0.0
1966,Bombay,SUNFLOWER,0.0,0.0,0.0
1966,Bombay,SOYABEAN,0.0,0.0,0.0
1966,Bombay,OILSEEDS,0.4,0.0,0.0
1966,Bombay,SUGARCANE,0.0,0.0,0.0
1966,Bombay,COTTON,0.0,0.0,0.0
1966,Bombay,RICE,2.0,3.0,1500.0
1966,Bombay,WHEAT,0.0,0.0,0.0
1966,Bombay,KHARIF SORGHUM,0.0,0.0,0.0
1966,Bombay,RABI SORGHUM,0.0,0.0,0.0
1966,Bombay,SORGHUM,0.0,0.0,0.0
1966,Bombay,PEARL MILLET,0.0,0.0,0.0
1966,Bombay,MAIZE,0.0,0.0,0.0
1966,Bombay,FINGER MILLET,0.0,0.0,0.0
1966,Bombay,BARLEY,0.0,0.0,0.0
1966,Bombay,CHICKPEA,0.0,0.0,0.0
1966,Bombay,PIGEONPEA,0.0,0.0,0.0
1966,Bombay,MINOR PULSES,0.0,0.0,0.0
1966,Bombay,GROUNDNUT,0.0,0.0,0.0
1966,Bombay,SESAMUM,0.0,0.0,0.0
1966,Bombay,RAPESEED AND MUSTARD,0.0,0.0,0.0
1966,Bombay,SAFFLOWER,0.0,0.0,0.0
1966,Bombay,CASTOR,0.0,0.0,0.0
1966,Bombay,LINSEED,0.0,0.0,0.0
1966,Bombay,SUNFLOWER,0.0,0.0,0.0
1966,Bombay,SOYABEAN,0.0,0.0,0.0
1966,Bombay,OILSEEDS,0.4,0.0,0.0
1966,Bombay,SUGARCANE,0.0,0.0,0.0
1966,Bombay,COTTON,0.0,0.0,0.0
1966,Bombay,RICE,2.0,3.0,1500.0
1966,Bombay,WHEAT,0.0,0.0,0.0
1966,Bombay,KHARIF SORGHUM,0.0,0.0,0.0
1966,Bombay,RABI SORGHUM,0.0,0.0,0.0
1966,Bombay,SORGHUM,0.0,0.0,0.0
1966,Bombay,PEARL MILLET,0.0,0.0,0.0
1966,Bombay,MAIZE,0.0,0.0,0.0
1966,Bombay,FINGER MILLET,0.0,0.0,0.0
1966,Bombay,BARLEY,0.0,0.0,0.0
1966,Bombay,CHICKPEA,0.0,0.0,0.0
1966,Bombay,PIGEONPEA,0.0,0.0,0.0
1966,Bombay,MINOR PULSES,0.0,0.0,0.0
1966,Bombay,GROUNDNUT,0.0,0.0,0.0
1966,Bombay,SESAMUM,0.0,0.0,0.0
1966,Bombay,RAPESEED AND MUSTARD,0.0,0.0,0.0
1966,Bombay,SAFFLOWER,0.0,0.0,0.0
1966,Bombay,CASTOR,0.0,0.0,0.0
1966,Bombay,LINSEED,0.0,0.0,0.0
1966,Bombay,SUNFLOWER,0.0,0.0,0.0
1966,Bombay,SOYABEAN,0.0,0.0,0.0
1966,Bombay,OILSEEDS,0.4,0.0,0.0
1966,Bombay,SUGARCANE,0.0,0.0,0.0
1966,Bombay,COTTON,0.0,0.0,0.0
1967,Bombay,RICE,2.0,3.0,1500.0
1967,Bombay,WHEAT,0.0,0.0,0.0
1967,Bombay,KHARIF SORGHUM,0.0,0.0,0.0
1967,Bombay,RABI SORGHUM,0.0,0.0,0.0
1967,Bombay,SORGHUM,0.0,0.0,0.0
1967,Bombay,PEARL MILLET,0.0,0.0,0.0
1967,Bombay,MAIZE,0.0,0.0,0.0
1967,Bombay,FINGER MILLET,0.0,0.0,0.0
1967,Bombay,BARLEY,0.0,0.0,0.0
1967,Bombay,CHICKPEA,0.0,0.0,0.0
1967,Bombay,PIGEONPEA,0.0,0.0,0.0
1967,Bombay,MINOR PULSES,0.0,0.0,0.0
1967,Bombay,GROUNDNUT,0.0,0.0,0.0
1967,Bombay,SESAMUM,0.0,0.0,0.0
1967,Bombay,RAPESEED AND MUSTARD,0.0,0.0,0.0
1967,Bombay,SAFFLOWER,0.0,0.0,0.0
1967,Bombay,CASTOR,0.0,0.0,0.0
1967,Bombay,LINSEED,0.0,0.0,0.0
1967,Bombay,SUNFLOWER,0.0,0.0,0.0
1967,Bombay,SOYABEAN,0.0,0.0,0.0
1967,Bombay,OILSEEDS,0.4,0.0,0.0
1967,Bombay,SUGARCANE,0.0,0.0,0.0
1967,Bombay,COTTON,0.0,0.0,0.0
1968,Bombay,RICE,1.3,2.0,1538.46
1968,Bombay,WHEAT,0.0,0.0,0.0
1968,Bombay,KHARIF SORGHUM,0.0,0.0,0.0
1968,Bombay,RABI SORGHUM,0.0,0.0,0.0
1968,Bombay,SORGHUM,0.0,0.0,0.0
1968,Bombay,PEARL MILLET,0.0,0.0,0.0
1968,Bombay,MAIZE,0.0,0.0,0.0
1968,Bombay,FINGER MILLET,0.0,0.0,0.0
1968,Bombay,BARLEY,0.0,0.0,0.0
1968,Bombay,CHICKPEA,0.0,0.0,0.0
1968,Bombay,PIGEONPEA,0.0,0.0,0.0
1968,Bombay,MINOR PULSES,0.0,0.0,0.0
1968,Bombay,GROUNDNUT,0.0,0.0,0.0
1968,Bombay,SESAMUM,0.0,0.0,0.0
1968,Bombay,RAPESEED AND MUSTARD,0.0,0.0,0.0
1968,Bombay,SAFFLOWER,0.0,0.0,0.0
1968,Bombay,CASTOR,0.0,0.0,0.0
1968,Bombay,LINSEED,0.0,0.0,0.0
1968,Bombay,SUNFLOWER,0.0,0.0,0.0
1968,Bombay,SOYABEAN,0.0,0.0,0.0
1968,Bombay,OILSEEDS,0.2,0.0,0.0
1968,Bombay,SUGARCANE,0.0,0.0,0.0
1968,Bombay,COTTON,0.0,0.0,0.0
1969,Bombay,RICE,1.4,2.0,1428.57
1969,Bombay,WHEAT,0.0,0.0,0.0
1969,Bombay,KHARIF SORGHUM,0.0,0.0,0.0
1969,Bombay,RABI SORGHUM,0.0,0.0,0.0
1969,Bombay,SORGHUM,0.0,0.0,0.0
1969,Bombay,PEARL MILLET,0.0,0.0,0.0
1969,Bombay,MAIZE,0.0,0.0,0.0
1969,Bombay,FINGER MILLET,0.0,0.0,0.0
1969,Bombay,BARLEY,0.0,0.0,0.0
1969,Bombay,CHICKPEA,0.0,0.0,0.0
1969,Bombay,PIGEONPEA,0.0,0.0,0.0
1969,Bombay,MINOR PULSES,0.0,0.0,0.0
1969,Bombay,GROUNDNUT,0.0,0.0,0.0
1969,Bombay,SESAMUM,0.0,0.0,0.0
1969,Bombay,RAPESEED AND MUSTARD,0.0,0.0,0.0
1969,Bombay,SAFFLOWER,0.0,0.0,0.0
1969,Bombay,CASTOR,0.0,0.0,0.0
1969,Bombay,LINSEED,0.0,0.0,0.0
1969,Bombay,SUNFLOWER,0.0,0.0,0.0
1969,Bombay,SOYABEAN,0.0,0.0,0.0
1969,Bombay,OILSEEDS,0.2,0.0,0.0
1969,Bombay,SUGARCANE,0.0,0.0,0.0
1969,Bombay,COTTON,0.0,0.0,0.0
1970,Bombay,RICE,1.2,2.1,1750.0
1970,Bombay,WHEAT,0.0,0.0,0.0
1970,Bombay,KHARIF SORGHUM,0.0,0.0,0.0
1970,Bombay,RABI SORGHUM,0.0,0.0,0.0
1970,Bombay,SORGHUM,0.0,0.0,0.0
1970,Bombay,PEARL MILLET,0.0,0.0,0.0
1970,Bombay,MAIZE,0.0,0.0,0.0
1970,Bombay,FINGER MILLET,0.0,0.0,0.0
1970,Bombay,BARLEY,0.0,0.0,0.0
1970,Bombay,CHICKPEA,0.0,0.0,0.0
1970,Bombay,PIGEONPEA,0.0,0.0,0.0
1970,Bombay,MINOR PULSES,0.0,0.0,0.0
1970,Bombay,GROUNDNUT,0.0,0.0,0.0
1970,Bombay,SESAMUM,0.0,0.0,0.0
1970,Bombay,RAPESEED AND MUSTARD,0.0,0.0,0.0
1970,Bombay,SAFFLOWER,0.0,0.0,0.0
1970,Bombay,CASTOR,0.0,0.0,0.0
1970,Bombay,LINSEED,0.0,0.0,0.0
1970,Bombay,SUNFLOWER,0.0,0.0,0.0
1970,Bombay,SOYABEAN,0.0,0.0,0.0
1970,Bombay,OILSEEDS,0.2,0.0,0.0
1970,Bombay,SUGARCANE,0.0,0.0,0.0
1970,Bombay,COTTON,0.0,0.0,0.0
1971,Bombay,RICE,1.5,2.3,1533.33
1971,Bombay,WHEAT,0.0,0.0,0.0
1971,Bombay,KHARIF SORGHUM,0.0,0.0,0.0
1971,Bombay,RABI SORGHUM,0.0,0.0,0.0
1971,Bombay,SORGHUM,0.0,0.0,0.0
1971,Bombay,PEARL MILLET,0.0,0.0,0.0
1971,Bombay,MAIZE,0.0,0.0,0.0
1971,Bombay,FINGER MILLET,0.0,0.0,0.0
1971,Bombay,BARLEY,0.0,0.0,0.0
1971,Bombay,CHICKPEA,0.0,0.0,0.0
1971,Bombay,PIGEONPEA,0.0,0.0,0.0
1971,Bombay,MINOR PULSES,0.0,0.0,0.0
1971,Bombay,GROUNDNUT,0.0,0.0,0.0
1971,Bombay,SESAMUM,0.0,0.0,0.0
1971,Bombay,RAPESEED AND MUSTARD,0.0,0.0,0.0
1971,Bombay,SAFFLOWER,0.0,0.0,0.0
1971,Bombay,CASTOR,0.0,0.0,0.0
1971,Bombay,LINSEED,0.0,0.0,0.0
1971,Bombay,SUNFLOWER,0.0,0.0,0.0
1971,Bombay,SOYABEAN,0.0,0.0,0.0
