,Year,Dist Name,Crop,Area(1000 ha),Production(1000 tons),Yield(Kg per ha),Total Rainfall,Avg Temp
9039,1997,Ahmednagar,RICE,10.3,12.6,1223.3,261.0,20.586875
9041,1997,Ahmednagar,KHARIF SORGHUM,5.5,6.7,1218.18,261.0,20.586875
9044,1997,Ahmednagar,PEARL MILLET,343.3,191.4,557.53,261.0,20.586875
9045,1997,Ahmednagar,MAIZE,10.4,15.6,1500.0,261.0,20.586875
9046,1997,Ahmednagar,FINGER MILLET,3.6,2.9,805.56,261.0,20.586875
9049,1997,Ahmednagar,PIGEONPEA,21.3,7.7,361.5,261.0,20.586875
9050,1997,Ahmednagar,MINOR PULSES,45.7,8.4,183.81,261.0,20.586875
9051,1997,Ahmednagar,GROUNDNUT,15.0,26.4,1760.0,261.0,20.586875
9052,1997,Ahmednagar,SESAMUM,1.3,0.2,153.85,261.0,20.586875
9057,1997,Ahmednagar,SUNFLOWER,15.7,7.7,490.45,261.0,20.586875
9058,1997,Ahmednagar,SOYABEAN,3.8,3.1,815.79,261.0,20.586875
9059,1997,Ahmednagar,OILSEEDS,84.9,56.7,667.84,261.0,20.586875
9060,1997,Ahmednagar,SUGARCANE,42.3,368.09,8701.89,261.0,20.586875
9061,1997,Ahmednagar,COTTON,4.1,1.28,312.2,261.0,20.586875
40043,1997,Ahmednagar,RICE,10.3,12.6,1223.3,261.0,20.586875
40045,1997,Ahmednagar,KHARIF SORGHUM,5.5,6.7,1218.18,261.0,20.586875
40048,1997,Ahmednagar,PEARL MILLET,343.3,191.4,557.53,261.0,20.586875
40049,1997,Ahmednagar,MAIZE,10.4,15.6,1500.0,261.0,20.586875
40050,1997,Ahmednagar,FINGER MILLET,3.6,2.9,805.56,261.0,20.586875
40053,1997,Ahmednagar,PIGEONPEA,21.3,7.7,361.5,261.0,20.586875
40054,1997,Ahmednagar,MINOR PULSES,45.7,8.4,183.81,261.0,20.586875
40055,1997,Ahmednagar,GROUNDNUT,15.0,26.4,1760.0,261.0,20.586875
40056,1997,Ahmednagar,SESAMUM,1.3,0.2,153.85,261.0,20.586875
40061,1997,Ahmednagar,SUNFLOWER,15.7,7.7,490.45,261.0,20.586875
40062,1997,Ahmednagar,SOYABEAN,3.8,3.1,815.79,261.0,20.586875
40063,1997,Ahmednagar,OILSEEDS,84.9,56.7,667.84,261.0,20.586875
40064,1997,Ahmednagar,SUGARCANE,42.3,368.09,8701.89,261.0,20.586875
40065,1997,Ahmednagar,COTTON,4.1,1.28,312.2,261.0,20.586875
23391,1997,Akola,RICE,3.3,1.8,545.45,384.2,22.08
23393,1997,Akola,KHARIF SORGHUM,207.7,311.2,1498.31,384.2,22.08
23396,1997,Akola,PEARL MILLET,5.0,2.1,420.0,384.2,22.08
